Measure_code,AIRA_SIMPLE,COUNTRY_REGION
AIRA_16,,MCO
AIRA_16,,TKM
AIRA_17,YES,ALB
AIRA_17,YES,AND
AIRA_17,UD,ARM
AIRA_17,YES,AUT
AIRA_17,NO,AZE
AIRA_17,NO,BLR
AIRA_17,UD,BEL
AIRA_17,UD,BGR
AIRA_17,UD,HRV
AIRA_17,NO,CYP
AIRA_17,UD,CZE
AIRA_17,NO,DNK
AIRA_17,UD,EST
AIRA_17,YES,FIN
AIRA_17,YES,FRA
AIRA_17,DNK,GEO
AIRA_17,NO,DEU
AIRA_17,DNK,GRC
AIRA_17,NO,HUN
AIRA_17,NO,ISL
AIRA_17,YES,IRL
AIRA_17,YES,ISR
AIRA_17,YES,ITA
AIRA_17,UD,KAZ
AIRA_17,NO,KGZ
AIRA_17,NO,LVA
AIRA_17,NO,LTU
AIRA_17,NO,LUX
AIRA_17,YES,MLT
AIRA_17,UD,MNE
AIRA_17,UD,NLD
AIRA_17,NO,MKD
AIRA_17,YES,NOR
AIRA_17,YES,POL
AIRA_17,NO,PRT
AIRA_17,UD,MDA
AIRA_17,NO,ROU
AIRA_17,YES,RUS
AIRA_17,NO,SMR
AIRA_17,YES,SRB
AIRA_17,NO,SVK
AIRA_17,NO,SVN
AIRA_17,UD,ESP
AIRA_17,NO,SWE
AIRA_17,DNK,CHE
AIRA_17,UD,TUR
AIRA_17,UD,TJK
AIRA_17,DNK,UKR
AIRA_17,YES,GBR
AIRA_17,NO,UZB
AIRA_17,,BIH
AIRA_17,,MCO
AIRA_17,,TKM
AIRA_18,NO,ALB
AIRA_18,NO,AND
AIRA_18,NO,ARM
AIRA_18,NO,AUT
AIRA_18,NO,AZE
AIRA_18,NO,BLR
AIRA_18,NO,BEL
AIRA_18,NO,BGR
AIRA_18,NO,HRV
AIRA_18,NO,CYP
AIRA_18,NO,CZE
AIRA_18,NO,DNK
AIRA_18,NO,EST
AIRA_18,NO,FIN
AIRA_18,YES,FRA
AIRA_18,NO,GEO
AIRA_18,NO,DEU
AIRA_18,NO,GRC
AIRA_18,NO,HUN
AIRA_18,NO,ISL
